Algorithm,Track,Accuracy,Precision_Weighted,Recall_Weighted,Weighted_F1,Macro_F1,ROC_AUC_OvR
XGBoost,Part B (Ensemble/Neural),0.6169,0.5933,0.6169,0.5909,0.4816,0.8405
MLP,Part B (Ensemble/Neural),0.6108,0.5858,0.6108,0.5909,0.4711,0.8438
Random Forest,Part B (Ensemble/Neural),0.6094,0.5838,0.6094,0.5739,0.4495,0.8317
Support Vector Classifier,Part A (Baseline),0.5589,0.5963,0.5589,0.5674,0.4786,0.8396
AdaBoost,Part B (Ensemble/Neural),0.5832,0.5564,0.5832,0.5563,0.4542,0.8021
Bagging,Part B (Ensemble/Neural),0.5909,0.5665,0.5909,0.5472,0.4219,0.8058
Logistic Regression,Part A (Baseline),0.5147,0.56,0.5147,0.5241,0.4427,0.8039
K-Nearest Neighbors,Part A (Baseline),0.5676,0.534,0.5676,0.5206,0.3941,0.7862
Gaussian Naive Bayes,Part A (Baseline),0.5337,0.5271,0.5337,0.5093,0.4158,0.7714
Decision Tree,Part A (Baseline),0.4937,0.5433,0.4937,0.4998,0.42,0.7599
